outcome,policy,h,theta_A,P_A,lo,hi,se_theta_A,ci_theta_lo,ci_theta_hi,im_lo,im_hi,lam_star
ip,1,1,0.5966970829803623,0.6691729323308271,-1.030494877780954,1.2139009225046027,0.218065127382392,0.45022532493567924,1.1382511287947492,-1.5789024682223247,1.500502474031753,1.8036525462815498
ip,1,2,0.8322314229586338,0.6691729323308271,-1.3933796509087701,1.469092052376523,0.287681686379368,0.6828290860052455,1.5418231314275628,-2.1512125285691335,1.83701261952156,2.515608619397689
ip,1,3,0.8527869637485807,0.6691729323308271,-1.605641502867261,1.6944319172507187,0.37227866081792305,0.6068927184908441,1.7661094732463967,-2.4320050110043083,2.1583872865125877,2.577742413149119
ip,1,4,1.2813405779920073,0.6691729323308271,-1.724787503273329,2.2387324662714163,0.464781499542153,0.9524724052042777,2.39024059094348,-2.748158483222503,2.7815657294487517,3.873143110748568
ip,1,5,1.3076883810427091,0.6691729323308271,-2.440844873589137,2.537691156171123,0.48673942054599234,0.999089352935894,2.4612852116129327,-3.698663926134577,3.1742097907606386,3.952785333606371
ip,1,6,1.4789467740895752,0.6691729323308271,-2.8496973095068188,2.887758511939149,0.5537520792357475,1.033836193407084,2.7691049438416506,-4.298754951891206,3.6184370419781207,4.47045274895258
ip,1,7,1.5349744203597635,0.6691729323308271,-3.0002602142847183,3.163227866439343,0.6401593965794523,0.9687652449516646,3.010675732436657,-4.534520119265646,3.9867332591532354,4.639809043360194
ip,1,8,1.837236959539879,0.6691729323308271,-3.2798139431404953,3.5840969706987638,0.787114401771717,1.152294264058634,3.62593040167758,-5.035270124401341,4.532533618711113,5.553466264063726
ip,1,9,1.8379350890832071,0.6691729323308271,-3.6576537401703337,3.7956313346449004,0.8725216667283875,1.0176406178694584,3.7804809106207715,-5.5528826605251185,4.849983758604783,5.55557651927424
ip,1,10,2.34646854277384,0.6691729323308271,-3.7172247250765884,4.369202679642096,1.0419968691328996,1.4437486932201602,4.742737048782609,-5.828241898946745,5.551038579967079,7.092734458839107
ip,1,11,2.2005720426624373,0.6691729323308271,-4.078495382908806,4.338711444421144,1.0359804207683672,1.2277981184285536,4.543366531716574,-6.22724685385714,5.573450206665264,6.651729128956913
ip,1,12,1.889237134236332,0.6691729323308271,-4.50259747711811,4.185844099167723,0.9658605102370991,0.8483661817689261,4.023463920058459,-6.656345851834046,5.4212243398732305,5.7106486103052765
ip,1,13,1.6940435236485472,0.6691729323308271,-4.8120765447805836,4.222010957534904,0.9601623760961651,0.6132527145667135,3.759723983992522,-6.978235064040302,5.512821292241187,5.120631560119472
ip,1,14,1.3782086696559543,0.6691729323308271,-5.378823668206414,4.066300239496162,0.8844064626752094,0.38443949459829563,3.2077282609938864,-7.589070015755253,5.381374445732823,4.165948933278226
ip,1,15,1.3355527679543142,0.6691729323308271,-5.537221945741173,4.203066948456993,0.9210145839725097,0.260691296314969,3.288919820698424,-7.789934016117426,5.603455469402583,4.037011775861904
ip,1,16,1.4904733268584784,0.6691729323308271,-5.6094184350381475,4.361630735815641,0.9420147685306323,0.3702174059768417,3.550945306738239,-7.927408701065459,5.780493718333755,4.505294374367674
ip,1,17,0.9773529070199667,0.6691729323308271,-6.1520917701646045,4.0165452791566425,0.8207713115074666,-0.0995637231029769,2.6632190962716984,-8.432316017555227,5.446945383542553,2.954271287128536
